tahun;namobj;rls;hls;amh;apm_ma;apk;persen_penduduk_ma
2024;Bogor;8,89;12,78;98,9;52,05;74,05;28,83
2024;Sukabumi;7,75;12,505;98,87;59,45;74,33;17,13
2024;Cianjur;7,91;12,16;99,22;57,37;72,42;17,15
2024;Bandung;9,45;12,7;99,73;53,5;74,05;33,25
2024;Garut;8,31;12,245;99,55;59,44;70,94;23,27
2024;Tasikmalaya;8,32;12,695;98,83;64,92;73,53;19,35
2024;Ciamis;8,33;14,495;99,41;60,17;87,08;17,99
2024;Kuningan;8,18;12,605;98,7;65,55;85,86;21,19
2024;Cirebon;8,06;12,595;94,93;62,69;84,98;26,13
2024;Majalengka;7,99;12,37;96,49;63,73;80,41;22,78
2024;Sumedang;8,86;13,34;99,18;66,85;86,51;24,87
2024;Indramayu;7,45;12,305;93,26;62,27;85,87;22,49
2024;Subang;7,88;12,14;96,39;63,96;76,78;23,05
2024;Purwakarta;8,4;12,27;97,57;50,85;70,25;25,79
2024;Karawang;8,54;12,23;97,33;59,04;76,13;30,78
2024;Bekasi;10,19;13,18;98,88;59,15;88,82;45,42
2024;Bandung Barat;8,57;12,06;99,01;61,71;72,69;24,77
2024;Pangandaran;8,47;12,335;99,33;61,39;77,41;19,48
2024;Kota Bogor;10,79;13,56;99,53;61,36;83,65;35,91
2024;Kota Sukabumi;10,44;14,015;99,2;70,62;92,6;36,57
2024;Kota Bandung;11,05;14,37;99,68;63,47;85,96;40,49
2024;Kota Cirebon;10,66;13,15;99,02;62,07;83,92;41,03
2024;Kota Bekasi;11,9;14,245;99,52;72,74;97,87;44,63
2024;Kota Depok;11,58;14,16;99,48;71,01;90,14;45,95
2024;Kota Cimahi;11,47;14,06;99,71;70,3;85,94;44,85
2024;Kota Tasikmalaya;9,86;13,625;99,74;65,23;84,38;30,15
2024;Kota Banjar;9,15;13,405;99,17;70,52;94,32;27,44
2025;Bogor;9,21;12,82;98,58;59,97;82,37;33,64
2025;Sukabumi;8,5;12,515;99,36;61;73,19;21,93
2025;Cianjur;8,17;12,41;99,55;63,42;91,87;17,16
2025;Bandung;9,68;12,86;99,67;67,63;83,62;33,59
2025;Garut;8,22;12,52;98,97;63,42;91,69;19,91
2025;Tasikmalaya;8,15;12,97;99,77;75,66;90,79;15,84
2025;Ciamis;8,53;14,505;99,62;78,49;93,81;18,58
2025;Kuningan;8,26;12,8;97,06;83,52;101,88;21,29
2025;Cirebon;8,48;12,725;95,48;68,19;87,53;29,23
2025;Majalengka;8,34;12,5;98,51;70,89;85,07;21,06
2025;Sumedang;9,27;13,45;99,63;80,73;104,52;25,29
2025;Indramayu;7,67;12,455;98,2;62,25;106,71;21,74
2025;Subang;8,19;12,425;98,6;73,12;94,09;24,22
2025;Purwakarta;8,8;12,53;99,04;69,3;83,13;29,55
2025;Karawang;8,73;12,29;97,27;65,73;81,76;32,28
2025;Bekasi;10,52;13,285;98,47;68,4;84,18;49,24
2025;Bandung Barat;8,74;12,255;98,76;59,32;82,05;24,78
2025;Pangandaran;8,23;12,39;99,61;63,675;93,38;19,73
2025;Kota Bogor;10,57;13,7;99,82;74,22;105,22;37,74
2025;Kota Sukabumi;10,22;14,03;100;103,11;90,08;38
2025;Kota Bandung;11,37;14,385;99,89;71,4;79,91;43,03
2025;Kota Cirebon;10,27;13,445;98,94;67,3;92,41;34,67
2025;Kota Bekasi;12,07;14,255;99,63;60,47;78,75;43,49
2025;Kota Depok;11,78;14,285;99,66;72,43;87,39;45,54
2025;Kota Cimahi;11,13;14,07;99,84;70,47;82,66;43,11
2025;Kota Tasikmalaya;9,66;13,635;99,9;75,3;87,65;32,92
2025;Kota Banjar;9,09;13,445;99,77;83,07;95,37;26,15
